WKT,Name
POINT (-74.002813 40.75345329999999),The Shed
POINT (-74.0024806 40.7509232),High Line Nine
POINT (-74.0031064 40.75077880000001),Ross + Kramer Gallery
POINT (-74.002997 40.750659),Kasmin Gallery
POINT (-74.0029066 40.750587),UTA Artist Space NY pop-up gallery
POINT (-74.0027865 40.7505102),De Buck Gallery
POINT (-74.0024557 40.7504018),Kasmin Gallery
POINT (-74.0026963 40.7502196),Templon
POINT (-74.0036391 40.7505612),Nancy Hoffman Gallery
POINT (-74.003717 40.7502048),Hollis Taggart
POINT (-74.0038434 40.75015010000001),SEIZAN Gallery New York
POINT (-74.00361120000001 40.7500935),RYAN LEE
POINT (-74.0040506 40.7502531),Pavel Zoubok Gallery
POINT (-74.0036933 40.7498878),Fergus McCaffrey
POINT (-74.003659 40.749778),Greene Naftali
POINT (-74.003592 40.749739),Miriam Ellner
POINT (-74.0037765 40.7498474),Caelum Gallery
POINT (-74.003937 40.74990219999999),CRUSH Projects
POINT (-74.00429799999999 40.749972),Alison Bradley Projects
POINT (-74.004138 40.7500545),Berry Campbell
POINT (-74.0043005 40.75005000000001),Malca Fine Art
POINT (-74.004434 40.75008500000001),Galerie Lelong & Co.
POINT (-74.004283 40.7501364),RWFA Rick Wester Fine Art
POINT (-74.004356 40.74998799999999),BravinLee Programs
POINT (-74.004457 40.7502042),ArtRayChelsea Studio Gallery
POINT (-74.0048441 40.75032119999999),Sundaram Tagore Gallery
POINT (-74.0052766 40.7501181),Gallery Henoch
POINT (-74.0049934 40.7498415),Marlborough
POINT (-74.0045729 40.7497128),Asian Art Piers
POINT (-74.0041542 40.7494854),Paradigm Art Company
POINT (-74.00410590000001 40.7494624),Paul Kolker collection
POINT (-74.0044496 40.74922979999999),Petzel Gallery
POINT (-74.0041653 40.7491195),Lennon Weinberg Inc
POINT (-74.00455649999999 40.74942899999999),Agora Gallery
POINT (-74.0048857 40.7493881),Dobrinka Salzman Gallery
POINT (-74.005 40.7491667),Luhring Augustine Gallery
POINT (-74.00504719999999 40.7496373),Pace Gallery
POINT (-74.0046758 40.7494847),Winston Wächter Fine Art
POINT (-74.00550679999999 40.7498192),The FLAG Art Foundation
POINT (-74.0058521 40.7494887),Gagosian
POINT (-74.0061751 40.7492488),C24 Gallery
POINT (-74.005937 40.7490939),Andrea Rosen Gallery
POINT (-74.0056595 40.7489744),Fredericks & Freiser
POINT (-74.0052759 40.74919250000001),Print Center New York
POINT (-74.0055727 40.7493163),Gagosian
POINT (-74.0056547 40.7489668),Blane De St. Croix
POINT (-74.005237 40.74904129999999),Chelsea Art Gallery District
POINT (-74.00583139999999 40.7490564),Lincoln Glenn
POINT (-74.0054359 40.7489974),Philippe Labaune Gallery
POINT (-74.00542480000001 40.7489569),Anna Zorina Gallery
POINT (-74.00528369999999 40.7488269),Cavalier Gallery
POINT (-74.0049264 40.74911999999999),Felix Gonzalez Torres Foundat
POINT (-74.0048279 40.7489983),Matthew Marks Gallery
POINT (-74.0044772 40.7489324),Gladstone Gallery
POINT (-74.0047306 40.7490476),ANNE TRUITT
POINT (-74.0051825 40.7487945),Hunter Dunbar Projects
POINT (-74.005141 40.7487323),Susan Inglett Gallery
POINT (-74.00503669999999 40.7487302),UniX Gallery
POINT (-74.0058323 40.7486848),Kvasnevski Schwartz Projects
POINT (-74.005586 40.74856399999999),Margaret Thatcher Projects
POINT (-74.0063795 40.7487958),Crossing Art
POINT (-74.004583 40.748487),Lisson Gallery
POINT (-74.00519 40.7482917),George Billis Gallery NYC
POINT (-74.004196 40.7482069),Taglialatella Galleries
POINT (-74.0038204 40.7485806),Lehmann Maupin
POINT (-74.0040728 40.7486264),Marianne Boesky Gallery
POINT (-74.0040812 40.7482485),Chelsea Walls
POINT (-74.0036157 40.7487662),Yossi Milo Gallery
POINT (-74.0050674 40.74791080000001),Fremin Gallery
POINT (-74.0052181 40.7479895),Nicolas Auvray Gallery - Galerie l'Atelier
POINT (-74.0042697 40.74797480000001),Jim Kempner Fine Art
POINT (-74.0052419 40.7474283),JoAnne Artman Gallery
POINT (-74.0055951 40.7475392),Yancey Richardson
POINT (-74.0059122 40.747347),Matthew Marks Gallery
POINT (-74.00572629999999 40.74762339999999),Miles McEnery Gallery
POINT (-74.0060608 40.7478204),DC Moore Gallery
POINT (-74.006299 40.747818),Dia Chelsea
POINT (-74.0064163 40.7476328),Harper's Chelsea
POINT (-74.0067358 40.7476497),Hauser & Wirth
POINT (-74.0062747 40.7474992),Pace Prints
POINT (-74.007014 40.747812),Shah Garg Foundation
POINT (-74.0067748 40.7480331),Silas Seandel Studio Inc
POINT (-74.0074398 40.74750159999999),303 Gallery
POINT (-74.00609589999999 40.7474502),Sikkema Jenkins & Co.
POINT (-74.006193 40.747122),Tanya Bonakdar Gallery
POINT (-74.0062566 40.7470869),Kravets Wehby Gallery
POINT (-74.00623139999999 40.74700560000001),Tina Kim Gallery
POINT (-74.0055484 40.7471759),Harper's Chelsea 512
POINT (-74.0057387 40.7468122),Nara Roesler | New York
POINT (-74.0063299 40.7468009),Miles McEnery Gallery
POINT (-74.00650019999999 40.7467546),Gagosian
POINT (-74.00668379999999 40.7469015),Gladstone Gallery
POINT (-74.00692219999999 40.74687249999999),Paula Cooper Gallery
POINT (-74.00724699999999 40.74670400000001),David Zwirner
POINT (-74.0067876 40.7465935),Cavin-Morris Gallery
POINT (-74.0069015 40.7465658),Kathryn Markel Fine Arts
POINT (-74.0068307 40.74653470000001),Ricco/Maresca Gallery
POINT (-74.0069786 40.74644399999999),Martina Nehrling
POINT (-74.0069498 40.7465188),Fine Art Conservation Group
POINT (-74.0076313 40.7468965),Hales Gallery
POINT (-74.0075161 40.7468881),Garth Greenan Gallery
POINT (-74.00548839999999 40.7463438),Nohra Haime Gallery
POINT (-74.0054969 40.7462982),Galleria Ca' d'Oro
POINT (-74.00557529999999 40.7462015),Washburn Gallery
POINT (-74.00592879999999 40.7460902),Lautaro Cuttica
POINT (-74.005788 40.746043),Praxis Gallery
POINT (-74.0056317 40.74600029999999),ACA Galleries est. 1932
POINT (-74.0065667 40.7461562),kurimanzutto New York
POINT (-74.0069429 40.7462119),David Kordansky Gallery
POINT (-74.0066726 40.745769),A Hug From The Art World
POINT (-74.006985 40.745866),David Zwirner
POINT (-74.00712879999999 40.7454928),Artemest Galleria
POINT (-74.0072928 40.7457115),L'Space Gallery
POINT (-74.0071732 40.74556),SLAG & RX Galleries
POINT (-74.0077256 40.7461564),Michael Rosenfeld Gallery
POINT (-74.0060086 40.7448659),Nicola Vassell Gallery
POINT (-74.0060166 40.7447625),Les Ateliers Courbet
POINT (-74.00527439999999 40.7451015),Vito Schnabel Gallery
POINT (-74.006261 40.7463679),Jack Shainman Gallery
POINT (-74.0075557 40.7451016),Hai Ngo
POINT (-74.0059187 40.74395539999999),447 SPACE
POINT (-74.00724400000001 40.7431186),Stray Kat Gallery
POINT (-74.0065704 40.7426002),ARTECHOUSE NYC
POINT (-74.0088629 40.73958770000001),Whitney Museum of American Art
POINT (-74.00665479999999 40.7395895),Fort Gansevoort
POINT (-74.008575 40.738923),White Columns
POINT (-74.0063286 40.7405735),Enrique Cabrera Fine Art
POINT (-74.005972 40.741534),artXnyc
POINT (-74.0050859 40.7443733),Hauser & Wirth
POINT (-74.00477660000001 40.75161049999999),Lux Contemporary
POINT (-74.00406699999999 40.751646),Landmark Arts Building
POINT (-74.0042564 40.7515536),The Carter Burden Gallery
POINT (-74.0043146 40.7514522),Blue Mountain Gallery
POINT (-74.0043514 40.75137169999999),Montserrat Contemporary Art
POINT (-74.0043755 40.7513256),Bowery Gallery
POINT (-74.0043396 40.7511939),First Street Gallery
POINT (-74.0038299 40.7522073),Elizabeth Sutton Collection
POINT (-74.006185 40.752109),Axis Gallery - New York & New Jersey
POINT (-74.00602719999999 40.75144569999999),Canoe Studios
POINT (-74.00416369999999 40.7470256),Dillon Gallery
