No.,Districts,Provinces,Company Name,Authorized Capital,Asset 61,Asset 62,Asset 63,Asset 64,Rev 61,Rev 62,Rev 63,Rev 64,Profit 61,Profit 62,Profit 63,Profit 64,ROA 61,ROA 62,ROA 63,ROA 64,ROE 61,ROE 62,ROE 63,ROE 64,NP 61,NP 62,NP 63,NP 64,Current 61,Current 62,Current 63,Current 64,Quick 61,Quick 62,Quick 63,Quick 64,A_Tirnover61,A_Tirnover62,A_Tirnover63,A_Tirnover64,DA 61,DA 62,DA 63,DA 64,DE 61,DE 62,DE 63,DE 64
1,เจริญกรุง,กทม.,A-ONE GEMS,"4,000,000.00","27,232,851.32","25,907,130.43","32,749,130.03","42,229,013.57","19,414,604.79","21,256,676.67","28,812,739.31","29,886,830.61","528,622.46","587,724.91","649,977.69","706,146.79",2.17,2.21,2.22,1.88,4.8,5.08,5.33,5.49,2.72,2.76,2.26,2.36,1.71,1.84,1.62,1.46,0.98,1.02,1.18,0.95,0.8,0.8,0.98,0.8,0.59,0.54,0.62,0.69,1.41,1.18,1.62,2.19
2,เจริญกรุง,กทม.,A.K.CAPITAL,"3,000,000.00","6,473,077.89","4,866,058.42","3,475,320.70","3,054,633.17","2,820,194.30","1,597,275.20","511,250.85",20.31,"-17,324.64","-852,185.29","-1,341,043.43","-709,585.67",-0.31,-15.03,-32.15,-21.73,-0.38,-20.84,-44.81,-36.07,-0.61,-53.35,-262.31,"-3,493,774.84",3.95,5.52,4.18,2.73,12.85,9.77,5.36,-,0.5,0.28,0.12,-,0.3,0.25,0.33,0.47,0.43,0.33,0.5,0.89
3,เจริญกรุง,กทม.,A.U.T. INTERNATIONAL,"8,000,000.00","29,697,946.09","21,247,726.71","23,293,023.39","25,326,922.95","10,417,226.99","18,871,749.66","28,080,628.63","36,047,777.26","-1,319,380.89","-7,878,107.97","1,570,870.63","649,951.34",-3.89,-30.93,7.05,2.67,-4.98,-35.96,8.38,3.27,-12.67,-41.75,5.59,1.8,7.42,6.17,5.99,4.82,0.65,2.61,26.2,36.82,0.31,0.74,1.26,1.48,0.13,0.15,0.16,0.2,0.15,0.18,0.19,0.25
4,เจริญกรุง,กทม.,Aamir International,"9,500,000.00","2,054,368.39","2,205,031.21","10,113,547.10","19,048,693.35","3,463,584.38","4,153,236.99","4,890,590.18","81,104,929.58","-191,202.55","77,150.22","78,066.49","944,681.56",-8.89,3.62,1.27,6.48,-8.96,3.71,1.59,11.57,-5.52,1.86,1.6,1.16,131.86,24.75,4.18,1.83,17.72,10.77,5.49,8,1.61,1.95,0.79,5.56,0.01,0.04,0.24,0.55,0.01,0.04,0.31,1.2
5,เจริญกรุง,กทม.,ADVANCE CUTTING CENTER,"5,000,000.00","10,030,351.69","11,098,232.47","11,892,180.09","13,671,098.13","4,266,502.15","5,345,003.37","5,319,093.86","5,193,642.31","163,924.22","-10,920.39","152,124.86","429,554.08",1.65,-0.1,1.32,3.36,1.96,-0.13,1.79,4.87,3.84,-0.2,2.86,8.27,6.3,4.14,3.57,2.92,1.44,2.27,2.44,2.12,0.43,0.51,0.46,0.41,0.16,0.24,0.28,0.34,0.19,0.31,0.38,0.51
6,เจริญกรุง,กทม.,ALISTORY GEMS,"2,000,000.00","2,097,747.91","2,170,774.49","1,988,222.94","1,932,006.11","2,955,999.99","2,869,018.71","1,523,364.49","1,951,775.71","225,219.32","77,124.90","-278,074.63","43,062.24",11.35,3.61,-13.37,2.2,11.53,3.66,-13.87,2.28,7.62,2.69,-18.25,2.21,65.98,78.43,16.15,81.12,50.45,220.69,188.42,149.16,1.49,1.34,0.73,1,0.02,0.01,0.06,0.01,0.02,0.01,0.07,0.01
7,เจริญกรุง,กทม.,ALLIED CORPORATION (THAILAND),"13,000,000.00","88,296,310.07","87,270,676.95","67,967,345.62","83,024,709.05","59,744,871.92","63,199,052.76","53,203,907.20","56,344,061.91","786,990.19","975,734.52","457,424.79","-2,311,120.27",0.86,1.11,0.59,-3.06,4.1,4.86,2.2,-11.64,1.32,1.54,0.86,-4.1,1.17,1.26,1.35,1.22,2.36,2.41,2.23,2.64,0.65,0.72,0.69,0.75,0.78,0.76,0.69,0.77,3.51,3.24,2.23,3.44
8,เจริญกรุง,กทม.,ANB GARMENT,"35,000,000.00","3,987,185.13","3,838,830.99","5,798,790.13","5,907,157.84","3,219,735.30","15,000.00","618,520.48","440,177.66","1,009,677.71","-154,135.44","29,763.62","5,096.67",26.8,-3.94,0.62,0.09,29.21,-3.97,0.78,0.13,31.36,"-1,027.57",4.81,1.16,56.52,46.1,5.49,4.56,10.33,0.36,6.11,2.88,0.85,-,0.13,0.08,0.01,0.01,0.34,0.35,0.01,0.01,0.51,0.54
9,เจริญกรุง,กทม.,"Angle Silver CO.,LTD","4,000,000.00","31,155,560.06","35,506,730.15","24,999,821.00","22,727,560.16","43,898,844.77","48,938,846.56","23,562,353.40","15,487,187.32","422,604.80","476,807.17","169,970.19","31,687.44",1.57,1.43,0.56,0.13,4.34,4.68,1.62,0.3,0.96,0.97,0.72,0.2,1.47,1.42,1.74,1.88,-,-,-,3.11,1.63,1.47,0.78,0.65,0.68,0.71,0.58,0.53,2.13,2.4,1.36,1.14
10,เจริญกรุง,กทม.,"ANJU ENTERPRISE CO.,LTD","8,000,000.00","54,226,196.03","54,846,513.42","33,349,562.81","28,980,374.09","72,734,320.89","54,612,769.81","33,418,390.20","33,450,758.36","-932,782.98","425,371.87","-3,713,051.25","-4,334,307.20",-1.55,0.78,-8.42,-13.91,-19.91,9.6,-470.85,82.79,-1.28,0.78,-11.11,-12.96,1.14,1.26,0.99,0.94,4.55,3.99,2.95,2.44,1.21,1,0.76,1.07,0.92,0.92,1.09,1.26,11.85,10.81,-11.87,-4.92
