ID,Name,Description,Latitude,longitute,Country,Province,Image,Sound
1,Narng Lerng,"Ban Nang Loeng, also known as Ban E-Leng, derives its name from the Mon word ""E-Leng,"" which means jar or earthenware pot. It is believed that the community originated from Mon traders who brought jars and other pottery from Ban Sam Khok, Pathum Thani, and sold them in Bangkok along the Khlong Phadung Krung Kasem canal. Over time, the area evolved into a market for exchanging a wide variety of goods, developing significantly since the reign of King Chulalongkorn (Rama V).",13.75926514,100.5121433,Thailand,Bangkok,images/image1.jpg,sounds/sound1.mp3
2,Ban bat ,"At the intersection of Meru Poon and Bamrung Mueang Roads, the exact origins of the community are unclear, with varying accounts. Some say the residents of Ban Bat were originally from Ayutthaya and migrated after the fall of the city, while others believe it was established during the early days of Bangkok. Historically, this community was renowned for its craftsmanship in making monk's alms bowls, with products once sold at markets in the Sao Chingcha and Sampeng areas. Today, only a few families continue this traditional craft.",13.7513014,100.5060857,Thailand,Bangkok,images/image2.jpg,sounds/sound2.mp3
3,Ban Dok Mai ,"Another renowned artisan community in Phra Nakhon is located around Golden Mount (Wat Saket) and the area along Khlong Ong Ang. This old neighborhood developed alongside the construction of the temple and became an important center for the production of consumables in Phra Nakhon. Among these skilled artisan communities is 'Ban Dok Mai,' known for producing fireworks, firecrackers, and torches.",13.74919566,100.5069334,Thailand,Bangkok,images/image3.jpg,sounds/sound3.mp3
4,Ban Krua ,"A historic Thai-Muslim community of Cham descent, the largest of its kind in Bangkok with a history spanning over 200 years. The community is renowned for its traditional silk weaving craftsmanship. It also houses the old 'Masjid Yameul Koiya' mosque, which was established during the reign of King Rama I.",13.75174558,100.5223616,Thailand,Bangkok,images/image4.jpg,sounds/sound4.mp3
5,Trok Ban Panthom,"In the past, this community was known for producing engraved trays, or 'phaan thom,' a significant craft in old Bangkok. Today, this tradition no longer exists, but the community is remembered for its historical role as a key producer of these ancient metalworks.",13.76145439,100.5041867,Thailand,Bangkok,images/image5.jpg,sounds/sound5.mp3
6,Ban Panthom,"Area is known for its craftsmen specializing in making tinware such as water vessels and trays. While there is no exact historical record of when this began, the tinware style was influenced by people who migrated from Nakhon Si Thammarat, hence it was commonly referred to as 'Nakhon tin.' Today, this tradition is no longer present.",13.7601966,100.5027794,Thailand,Bangkok,images/image6.jpg,sounds/sound6.mp3
7,Pom Mahakarn ,"This group has been continuously settled for over 50 years, blending with people who have been here since the reign of King Rama III, who established the old houses still present today. Wat Thepthidaram and Wat Ratchanadda serve as the centers for religious ceremonies and beliefs, while the shrine at Phom Mahakan is a place of veneration for the community.",13.75556335,100.5010247,Thailand,Bangkok,images/image7.jpg,sounds/sound7.mp3
8,Chareonchai ,Home to many valuable historic buildings and serves as a major hub for Chinese cultural and traditional goods in Bangkok.,13.74265736,100.5099521,Thailand,Bangkok,images/image8.jpg,sounds/sound8.mp3
9,Troksilpa-Troktuekdin ,"It is an ancient community that still preserves architecture over 80 years old, including residential areas of its inhabitants. It is situated in the vicinity of significant religious sites, which may have contributed to the establishment of what is now known as the 'Trok Sin-Trok Tin Soi' community, such as Wat Thepthidaram, Wat Mahannapharam, and Wat Ratchanadda.",13.75536892,100.5004767,Thailand,Bangkok,images/image9.jpg,sounds/sound9.mp3
10,Trok Bawornrungsee,Currently renowned for gold leaf production but was historically known for its highly skilled goldsmiths.,13.75879101,100.5007908,Thailand,Bangkok,images/image10.jpg,sounds/sound10.mp3
