ID,Name,Description,Latitude,Longtitude,Country,Province,District 
1,Talad Noi ,"The prominence in craftsmanship and skilled work reflects the cultural knowledge of the Chinese community passed down through generations. This includes activities such as casting Buddha images, making shoes, creating traditional pillows, and preparing ancient pastries. It also encompasses various festival-related activities, such as performing Chinese opera and preparing vegetarian food during specific celebrations.",13.73332707,100.5131102,Thailand,Bangkok,
2,Pahurat ,"The historic commercial district of Pahurat in Bangkok is renowned for its vibrant and diverse fabric shops, featuring textiles from Thai, Chinese, and Indian traditions. The area is predominantly occupied by Thai-Indian merchants who offer a range of products, including clothing, accessories, and Indian food with distinctive spice flavors. This makes Pahurat a small Indian community within Thailand, showcasing a rich blend of cultural heritage and commercial activity.",13.74454207,100.4995295,Thailand,Bangkok,
3,Kudee Jeen,"This community is characterized by its harmonious coexistence of people practicing three different religions: Buddhism, Christianity, and Islam. It is notable for its peaceful interfaith relationships and features religious sites representing all three faiths within the area.",13.73173,100.479362,Thailand,Bangkok,
4,Narng Lerng,"Ban Nang Loeng, also known as Ban E-Leng, derives its name from the Mon word ""E-Leng,"" which means jar or earthenware pot. It is believed that the community originated from Mon traders who brought jars and other pottery from Ban Sam Khok, Pathum Thani, and sold them in Bangkok along the Khlong Phadung Krung Kasem canal. Over time, the area evolved into a market for exchanging a wide variety of goods, developing significantly since the reign of King Chulalongkorn (Rama V).




",13.75926514,100.5121433,Thailand,Bangkok,
5,Ban Bu,"This community, with a history of over 200 years, continues to preserve the traditional craftsmanship of stoneware bowl making, a unique skill dating back to the Ayutthaya period and now the only one of its kind in Thailand. Within the community, Wat Suwannaram Ratchaworawihan, an ancient temple, holds significant historical value as it was used for royal and noble funerals in the early Rattanakosin period. Additionally, the community maintains the legacy of the swordsmanship school that has been passed down since ancient times.",13.76233972,100.4789338,Thailand,Bangkok,
6,Ta Tien,"The Tha Tien community is an ancient and significant area within the Phra Nakhon district and the Rattanakosin Island, located along the Chao Phraya River. Historically, it was a major marketplace in Bangkok, specializing in the trade and export of seafood products such as dried fish and other preserved marine foods.",13.74606238,100.4908784,Thailand,Bangkok,
7,4 Yaak Baan Kaek,"The area with a significant Muslim population, adjacent to the Ban Somdet and Bang Sai Kai communities, has evolved into a vibrant district that brings together people of various religions and cultures. The ""Wat Hiranyapuri"" (วัดหิรัญจูรี) serves as a key religious site and a central gathering place for the community.",13.75496,100.48722,Thailand,Bangkok,
8,Ban Yuan Sam Sen ,"A renowned handicraft community known for the creation and casting of Buddha statues, which has been passed down through generations for over 700 years.




",13.77846409,100.5050348,Thailand,Bangkok,
9,Ban Chang Lhor,"A Mon community that migrated from Tavoy and Myeik, which remains firmly adherent to Buddhism. Within the community of Wat Pradittharam, there is a reclining Buddha statue enshrined in the Buddha Image Hall.",13.75916,100.4748,Thailand,Bangkok,
10,Wat Pradittharam,"The prominence in craftsmanship and skilled work reflects the cultural knowledge of the Chinese community passed down through generations. This includes activities such as casting Buddha images, making shoes, creating traditional pillows, and preparing ancient pastries. It also encompasses various festival-related activities, such as performing Chinese opera and preparing vegetarian food during specific celebrations.",13.7341,100.4876,Thailand,Bangkok,
11,Kudee Kaow,"An ancient Muslim community over 200 years old, notable for its Masjid Bang Luang (Kudi Khao), the only brick and mortar mosque in the world built entirely in Thai style. The building's white color gives the community its name.",13.7382042,100.4893858,Thailand,Bangkok,
12,Lhuangprot-Tan liem,"A historic community along the canal, over 100 years old, rich with the cultural heritage of the Mon and Chinese people. The community features learning centers and preserved historic sites that residents continue to maintain.",13.72419899,100.7885065,Thailand,Bangkok,
13,Padung Islam Mosque ,"The first ""Suhraw"" (mosque) of the ""Khaek Ja Sen"" community in the Three Suhras-Four Mosques cultural area. It plays a significant role in the religious and cultural identity of the community.",13.737825,100.486857,Thailand,Bangkok,
14,Ban Krua Nhuer,"The Chamu ethnic community, originally from Cambodia, is renowned for its traditional silk weaving. This community, with its rich cultural heritage, continues to uphold and celebrate its textile craftsmanship.",13.74986855,100.5276124,Thailand,Bangkok,
