id_train,name,route,type_id,type_name,dcode,dname,lat,lng
1,สถานีรถไฟมักกะสัน,รถไฟสายตะวันออก,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1037,ราชเทวี,13.75386114,100.5473314
2,สถานีรถไฟหัวตะเข้,รถไฟสายตะวันออก,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1011,ลาดกระบัง,13.7282499,100.7823578
3,สถานีรถไฟคลองตัน,รถไฟสายตะวันออก,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1017,ห้วยขวาง,13.7443547,100.589527
4,สถานีรถไฟลาดกระบัง,รถไฟสายตะวันออก,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1011,ลาดกระบัง,13.72753364,100.7485422
5,สถานีรถไฟหัวหมาก,รถไฟสายตะวันออก,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1034,สวนหลวง,13.73842173,100.6397597
6,ป้ายหยุดรถ อุรุพงษ์,รถไฟสายตะวันออก,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1037,ราชเทวี,13.75858426,100.5262967
7,ป้ายหยุดรถ พญาไท,รถไฟสายตะวันออก,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1037,ราชเทวี,13.75703182,100.5332037
8,ป้ายหยุดรถ อโศก,รถไฟสายตะวันออก,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1017,ห้วยขวาง,13.75003093,100.564136
9,ป้ายหยุดรถ สุขุมวิท 71,รถไฟสายตะวันออก,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1034,สวนหลวง,13.74283645,100.600659
10,สถานีรถไฟ บ้านทับช้าง,รถไฟสายตะวันออก,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1032,ประเวศ,13.73299343,100.6887534
11,ป้ายหยุดรถ ซอยวัดลานบุญ,รถไฟสายตะวันออก,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1011,ลาดกระบัง,13.72973524,100.7181868
12,ป้ายหยุดรถ พระจอมเกล้า,รถไฟสายตะวันออก,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1011,ลาดกระบัง,13.72822743,100.7754421
13,สถานีรถไฟ คลองหลวงแพ่ง,รถไฟสายตะวันออก,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1011,ลาดกระบัง,13.72023332,100.8631429
14,สถานีรถไฟบางบำหรุ,รถไฟสายใต้,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1025,บางพลัด,13.7919568,100.4775586
15,สถานีชุมทางตลิ่งชัน,รถไฟสายใต้,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1019,ตลิ่งชัน,13.78974209,100.4394664
16,สถานีรถไฟศาลาธรรมสพน์,รถไฟสายใต้,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1048,ทวีวัฒนา,13.80105454,100.3708108
17,สถานีรถไฟธนบุรี,รถไฟสายใต้,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1020,บางกอกน้อย,13.76051108,100.478628
18,ป้ายหยุดรถ บางระมาด,รถไฟสายใต้,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1019,ตลิ่งชัน,13.77848614,100.4535849
19,ป้ายหยุดรถ พุทธมณฑล สาย 2,รถไฟสายใต้,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1048,ทวีวัฒนา,13.79999565,100.3951221
20,ป้ายหยุดรถ บ้านฉิมพลี,รถไฟสายใต้,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1019,ตลิ่งชัน,13.79920749,100.4206647
21,ป้ายหยุดรถ จรัญสนิทวงศ์,รถไฟสายใต้,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1020,บางกอกน้อย,13.76315119,100.4724947
22,สถานีกลางกรุงเทพอภิวัฒน์,รถไฟสายใต้ / รถไฟสายเหนือ,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1030,จตุจักร,13.80406336,100.5418349
23,สถานีรถไฟ สามเสน,รถไฟสายใต้ / รถไฟสายเหนือ / รถไฟสายตะวันออกเฉียงเหนือ,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1002,ดุสิต,13.77972271,100.5299297
24,สถานีรถไฟ ชุมทางบางซื่อ,รถไฟสายใต้ / รถไฟสายเหนือ / รถไฟสายตะวันออกเฉียงเหนือ,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1030,จตุจักร,13.80444474,100.540117
25,สถานีรถไฟกรุงเทพ (หัวลำโพง),รถไฟสายใต้ / รถไฟสายเหนือ / รถไฟสายตะวันออกเฉียงเหนือ,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1007,ปทุมวัน,13.73935244,100.516879
26,ป้ายหยุดรถ ยมราช,รถไฟสายใต้ / รถไฟสายเหนือ / รถไฟสายตะวันออกเฉียงเหนือ,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1002,ดุสิต,13.75819952,100.5212727
27,ป้ายหยุดรถ โรงพยาบาลรามาธิบดี,รถไฟสายใต้ / รถไฟสายเหนือ / รถไฟสายตะวันออกเฉียงเหนือ,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1002,ดุสิต,13.76744164,100.5250224
28,สถานีรถไฟวงเวียนใหญ่,รถไฟสายแม่กลอง,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1015,ธนบุรี,13.72443034,100.4913373
29,สถานีรถไฟตลาดพลู,รถไฟสายแม่กลอง,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1015,ธนบุรี,13.72085855,100.4780002
30,สถานีรถไฟวัดสิงห์,รถไฟสายแม่กลอง,1,สถานีรถไฟทั่วไป (ซื้อตั๋วได้ที่สถานีรถไฟ),1035,จอมทอง,13.6833061,100.4477752
31,ป้ายหยุดรถ วัดไทร,รถไฟสายแม่กลอง,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1035,จอมทอง,13.69151053,100.4576253
32,ป้ายหยุดรถ วุฒากาศ,รถไฟสายแม่กลอง,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1015,ธนบุรี,13.71230356,100.472547
33,ป้ายหยุดรถ คลองต้นไทร,รถไฟสายแม่กลอง,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1035,จอมทอง,13.70647142,100.4697832
34,ป้ายหยุดรถ จอมทอง,รถไฟสายแม่กลอง,2,ป้ายหยุดรถไฟ (ซื้อตั๋วบนรถ),1035,จอมทอง,13.70186101,100.465252
