Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,Shape_Leng,Shape_Area,YearBin,percent1900,percent1930,percent1960,percent2000,percent2024,std_dev,mean_value,evenness,Longitude,Latitude
MN,1850,1,109,197.01,1000,05,7,10027,E047,26,16,2320,1,09,1B,MORNINGSIDE DRIVE,PARK,,,,,,,,,,N,Q1,09,0,C,PARKS AND RECREATION,1302350,2865,2865,0,0,0,0,0,0,2865,2,3,1.0,0,1,3490.0,500.0,14.0,34.0,,1,Y,3,2,20922300.0,25800300.0,20922300.0,25800300.0,1900,0,0,,,0.0,0.0,0.0,0.0,1,1018500001.0,0,019701,995773,232839,5c,Y,107N082,10702,,0.0,,1,,,18v2,7885.45771151,1326746.25883,1900-1930,0.0,1.0,0.0,0.0,0.0,0.44721359549995804,0.2,0.44721359449995784,-73.95837682292814,40.805757603718895
MN,1850,2,109,197.01,1000,05,7,10027,E047,26,16,2320,1,09,1B,123 MORNINGSIDE DRIVE,R7-2,,,,,,,,,,N,W1,08,0,C,DCAS/DEPARTMENT OF ED,59100,79645,79645,0,0,0,0,0,0,79645,2,1,3.0,0,1,191.83,300.0,264.0,153.0,,1,Y,3,0,3798000.0,12120300.0,3798000.0,12120300.0,1966,0,0,,,1.35,3.44,0.0,6.5,1,1018500002.0,0,019701,996040,234639,5c,,107N082,10702,,0.0,,1,,,18v2,1016.13338673,58596.1930225,1960-2000,0.0,0.88,0.0,0.08,0.04,0.3815756805667782,0.2,0.5241424169873329,-73.95740920908159,40.810697752876614
MN,1865,1,109,197.01,1002,03,7,10025,E047,26,16,2320,1,09,1B,1021 AMSTERDAM AVENUE,R7-2,,,,,,,,,,N,M1,08,0,X,THE CATHEDRAL CHURCH,456126,13435076,13435076,0,0,0,0,0,0,13435076,2,8,9.0,0,1,715.5,782.08,60.0,100.0,,0,Y,3,0,11233800.0,36582300.0,11233800.0,36582300.0,1900,0,0,,INDIVIDUAL LANDMARK,29.45,3.44,0.0,6.5,1,1018650001.0,0,019701,994763,231949,5d,Y,107N054,10703,,1018650001.0,05/16/2017,1,,,18v2,3158.92245511,393718.76495,1900-1930,0.0,0.5,0.0,0.0,0.5,0.2738612787525831,0.2,0.7302967406735547,-73.9620265202467,40.80331605824644
MN,1865,20,109,197.01,1002,03,7,10025,E047,26,16,2320,1,09,1B,40 MORNINGSIDE DRIVE,R7-2,,,,,,,,,,N,D1,03,0,,THE CATHEDRAL CHURCH,57849,402727,38600,364127,0,0,38600,0,0,0,2,2,15.0,430,430,556.4,100.0,65.0,413.0,,1,N,0,2,3632400.0,31239900.0,561665.0,28169165.0,2014,0,0,,,6.96,3.44,0.0,6.5,1,1018650020.0,0,019701,994928,232268,5d,Y,107N054,10703,,1018650001.0,04/21/2006,1,,,18v2,1422.111653,55457.1007901,after 2000,0.0,0.5,0.4,0.0,0.1,0.2345207879911715,0.2,0.8528028617860781,-73.9614300247579,40.804191427668925
MN,1865,40,109,197.01,1002,03,7,10025,E047,26,16,2320,1,09,1B,1 MORNINGSIDE DRIVE,R7-2,,,,,,,,,,N,D9,03,0,,AVALON MORNINGSIDE FE,24876,358800,0,358800,0,0,0,0,0,0,2,1,18.0,295,295,51.0,309.11,280.0,90.0,,1,Y,5,1,450000.0,39426750.0,42401.0,39019151.0,2008,0,0,,,14.42,3.44,0.0,6.5,1,1018650040.0,0,019701,994856,231603,5d,,107N054,10703,,1018650040.0,02/12/2008,1,,,18v2,817.061917381,25765.6026626,after 2000,0.0,0.5,0.0,0.0,0.5,0.2738612787525831,0.2,0.7302967406735547,-73.96169114621705,40.802366272099235
MN,1866,1,109,197.01,1001,03,7,10025,E047,26,16,2320,1,09,1B,1091 AMSTERDAM AVENUE,R8,,,,,,,,,,N,I1,08,0,X,ST LUKE'S/ROOSEVELT H,64954,333122,333122,0,0,0,0,0,0,333122,2,3,9.0,0,1,201.83,315.73,201.83,315.73,,0,Y,3,0,5625000.0,22366350.0,5625000.0,22366350.0,1954,0,0,,,5.13,6.02,0.0,6.5,1,1018660001.0,0,019701,994887,232533,5c,Y,107N067,10703,,1018660001.0,01/04/2016,1,,,18v2,1100.53619894,70873.6035043,1930-1960,0.0,0.625,0.20833333333333334,0.125,0.041666666666666664,0.25069348260818874,0.2,0.7977869911951199,-73.96157770087525,40.80491882916577
MN,1866,2,109,197.01,1001,03,7,10025,E047,26,16,2320,1,09,1B,30 MORNINGSIDE DRIVE,R8,,,,,,,,,,N,I1,08,0,,DS 30 MORNINGSIDE DRI,47680,244527,244527,0,0,0,0,0,0,244527,2,3,0.0,0,1,208.31,268.03,208.31,268.03,,2,N,0,1,4129200.0,14474700.0,0.0,0.0,1954,0,0,,INDIVIDUAL LANDMARK,5.13,6.02,0.0,6.5,1,1018660002.0,0,019701,995130,232393,5c,Y,107N067,10703,,1018660001.0,01/04/2016,1,,,18v2,958.332354579,51982.6052943,1930-1960,0.0,0.7272727272727273,0.18181818181818182,0.0,0.09090909090909091,0.3042400096487548,0.2,0.6573757329732021,-73.9607001786277,40.80453427183155
MN,1867,1,109,201.01,1002,03,7,10025,E047,26,16,1800,1,09,1B,1101 AMSTERDAM AVENUE,R8,,,,C1-4,,,,,,N,I1,08,0,X,ST LUKE'S/ROOSEVELT H,20183,148067,148067,0,0,0,0,0,0,148067,2,1,11.0,0,1,201.83,100.0,194.83,79.58,,1,N,3,0,1021500.0,17478900.0,1021500.0,17478900.0,1906,0,0,,,7.34,6.02,0.0,6.5,1,1018670001.0,0,020101,994914,232816,5c,,107N067,10703,,0.0,,1,,,18v2,621.197685432,21639.1832275,1900-1930,0.0,0.7777777777777778,0.14814814814814814,0.07407407407407407,0.0,0.32877542253588365,0.2,0.6083179753798457,-73.96147972367363,40.80569555361169
MN,1867,5,109,201.01,1002,03,7,10025,E047,26,16,1800,1,09,1B,421 WEST 114 STREET,R8,,,,,,,,,,N,I1,08,0,X,ST LUKE'S/ROOSEVELT H,20183,280560,280560,0,0,0,0,0,0,280560,2,1,14.0,0,1,100.0,201.83,100.0,201.83,,0,N,5,0,877500.0,44936100.0,877500.0,44936100.0,1920,0,0,,,13.9,6.02,0.0,6.5,1,1018670005.0,0,020101,995005,232767,5c,,107N067,10703,,0.0,,1,,,18v2,610.125643491,20506.5740794,1900-1930,0.0,0.75,0.16666666666666666,0.08333333333333333,0.0,0.3151278400198173,0.2,0.634663060403548,-73.9611510939292,40.80556095182218
MN,1867,9,109,201.01,1002,03,7,10025,E047,26,16,1800,1,09,1B,411 WEST 114 STREET,R8,,,,,,,,,,N,I5,08,0,,TRUSTEES OF COLUMBIA,10092,42672,42672,0,0,0,0,0,0,42672,2,1,6.0,24,24,100.0,100.92,100.0,86.0,,3,N,5,2,409500.0,2667600.0,0.0,0.0,1910,0,0,,,4.23,6.02,0.0,6.5,1,1018670009.0,0,020101,995068,232674,5c,,107N067,10703,,0.0,,1,,,18v2,406.568731212,10330.589094,1900-1930,0.0,0.7391304347826086,0.13043478260869565,0.08695652173913043,0.043478260869565216,0.305278081418121,0.2,0.6551403835342232,-73.96092367700166,40.80530561555036
