Image ID,RGB,Hue,SortColor,geometry,centroid,latitude,longitude,ZipCode,LandUse,OwnerType,YearBuilt,YearBin,SVI_ID,SortYear
299,"(106, 116, 133)",154,271,"POLYGON ((-73.95343011862006 40.8121262871848, -73.95343011862006 40.812845460509294, -73.95414929194455 40.812845460509294, -73.95414929194455 40.8121262871848, -73.95343011862006 40.8121262871848))",POINT (-73.9537897052823 40.81248587384705),40.81248587384705,-73.9537897052823,10027,8.0,X,1860,0,299,0
567,"(126, 138, 156)",153,496,"POLYGON ((-73.94480003872626 40.83082479362157, -73.94480003872626 40.83154396694606, -73.94551921205074 40.83154396694606, -73.94551921205074 40.83082479362157, -73.94480003872626 40.83082479362157))",POINT (-73.9451596253885 40.83118438028382),40.83118438028382,-73.9451596253885,10032,9.0,X,1882,0,567,1
581,"(226, 225, 221)",34,606,"POLYGON ((-73.94408086540177 40.83082479362157, -73.94408086540177 40.83154396694606, -73.94480003872626 40.83154396694606, -73.94480003872626 40.83082479362157, -73.94408086540177 40.83082479362157))",POINT (-73.94444045206401 40.83118438028382),40.83118438028382,-73.94444045206401,10032,9.0,X,1882,0,581,2
572,"(107, 118, 135)",153,270,"POLYGON ((-73.94408086540177 40.82435223370115, -73.94408086540177 40.82507140702564, -73.94480003872626 40.82507140702564, -73.94480003872626 40.82435223370115, -73.94408086540177 40.82435223370115))",POINT (-73.94444045206401 40.8247118203634),40.8247118203634,-73.94444045206401,10031,4.0,,1890,0,572,3
594,"(141, 152, 160)",145,487,"POLYGON ((-73.9426425187528 40.82579058035013, -73.9426425187528 40.82650975367462, -73.94336169207729 40.82650975367462, -73.94336169207729 40.82579058035013, -73.9426425187528 40.82579058035013))",POINT (-73.94300210541503 40.82615016701238),40.82615016701238,-73.94300210541503,10031,4.0,,1890,0,594,4
58,"(114, 122, 134)",153,267,"POLYGON ((-73.96206019851387 40.80924959388684, -73.96206019851387 40.80996876721133, -73.96277937183835 40.80996876721133, -73.96277937183835 40.80924959388684, -73.96206019851387 40.80924959388684))",POINT (-73.96241978517611 40.80960918054909),40.80960918054909,-73.96241978517611,10027,8.0,X,1897,0,58,5
59,"(133, 135, 135)",127,243,"POLYGON ((-73.96206019851387 40.80996876721133, -73.96206019851387 40.81068794053582, -73.96277937183835 40.81068794053582, -73.96277937183835 40.80996876721133, -73.96206019851387 40.80996876721133))",POINT (-73.96241978517611 40.81032835387357),40.81032835387357,-73.96241978517611,10027,8.0,X,1897,0,59,6
46,"(133, 130, 124)",28,192,"POLYGON ((-73.96277937183835 40.80996876721133, -73.96277937183835 40.81068794053582, -73.96349854516284 40.81068794053582, -73.96349854516284 40.80996876721133, -73.96277937183835 40.80996876721133))",POINT (-73.9631389585006 40.81032835387357),40.81032835387357,-73.9631389585006,10027,8.0,X,1897,0,46,7
525,"(122, 123, 128)",162,260,"POLYGON ((-73.94623838537522 40.82291388705217, -73.94623838537522 40.82363306037666, -73.94695755869971 40.82363306037666, -73.94695755869971 40.82291388705217, -73.94623838537522 40.82291388705217))",POINT (-73.94659797203747 40.823273473714416),40.823273473714416,-73.94659797203747,10031,1.0,,1899,0,525,8
526,"(126, 119, 121)",242,319,"POLYGON ((-73.94623838537522 40.82363306037666, -73.94623838537522 40.82435223370115, -73.94695755869971 40.82435223370115, -73.94695755869971 40.82363306037666, -73.94623838537522 40.82363306037666))",POINT (-73.94659797203747 40.82399264703891),40.82399264703891,-73.94659797203747,10031,1.0,,1899,0,526,9
